Order,Family,Genus,Apomixis_Yes_Uncertain,Apospory,Diplospory,Apospory_and_Diplospory,Adventitious_Embryony
Acorales,Acoraceae,Acorus,U,,,,
Alismatales,Araceae,Aglaonema,Y,Y,,,
Alismatales,Potamogetonaceae,Potamogeton,Y,,Y,,
Apiales,Apiaceae,Angelica,Y,Y,,,
Asparagales,Amaryllidaceae,Habranthus,Y,,Y,,
Asparagales,Amaryllidaceae,Zephyranthes,Y,,Y,,
Asparagales,Orchidaceae,Calanthe,U,,,,
Asparagales,Orchidaceae,Dactylorchis,Y,Y,,,
Asparagales,Orchidaceae,Goodyera,U,,,,
Asparagales,Orchidaceae,Phalaenopsis,U,,,,
Asparagales,Orchidaceae,Satyrium,Y,,,,
Asparagales,Orchidaceae,Stanhopea,U,,,,
Asterales,Asteraceae,Achillea,U,,,,
Asterales,Asteraceae,Ageratina,Y,,Y,,
Asterales,Asteraceae,Ageratum,U,,,,
Asterales,Asteraceae,Antennaria,Y,Y,Y,Y,
Asterales,Asteraceae,Arnica,Y,,Y,,
Asterales,Asteraceae,Artemisia,U,,,,
Asterales,Asteraceae,Ayapana,U,,,,
Asterales,Asteraceae,Bellis,U,,,,
Asterales,Asteraceae,Bidens,U,,,,
Asterales,Asteraceae,Blumea,Y,,Y,,
Asterales,Asteraceae,Brachyscome,Y,,Y,,
Asterales,Asteraceae,Calea,U,,,,
Asterales,Asteraceae,Calotis,Y,Y,,,
Asterales,Asteraceae,Campovassouria,Y,Y,,,
Asterales,Asteraceae,Campuloclinium,Y,Y,,,
Asterales,Asteraceae,Carthamus,U,,,,
Asterales,Asteraceae,Centaurea,U,,,,
Asterales,Asteraceae,Chondrilla,Y,,Y,,
Asterales,Asteraceae,Chromolaena,Y,,Y,,
Asterales,Asteraceae,Cichorium,U,,,,
Asterales,Asteraceae,Cineraria,Y,Y,,,
Asterales,Asteraceae,Coreopsis,U,,,,
Asterales,Asteraceae,Crepis,Y,Y,,,
Asterales,Asteraceae,Dimorphotheca,U,,,,
Asterales,Asteraceae,Erigeron,Y,Y,Y,Y,
Asterales,Asteraceae,Eupatorium,Y,Y,Y,Y,
Asterales,Asteraceae,Eurybiopsis,Y,Y,,,
Asterales,Asteraceae,Gerbera,U,,,,
Asterales,Asteraceae,Grindelia,U,,,,
Asterales,Asteraceae,Gutierrezia,Y,Y,,,
Asterales,Asteraceae,Gyptis,Y,,Y,,
Asterales,Asteraceae,Helianthus,U,,,,
Asterales,Asteraceae,Ixeris,Y,,Y,,
Asterales,Asteraceae,Leibnitzia,U,,,,
Asterales,Asteraceae,Leontodon,U,,,,
Asterales,Asteraceae,Leontopodium,Y,,Y,,
Asterales,Asteraceae,Leucanthemum,U,,,,
Asterales,Asteraceae,Melampodium,U,,,,
